,Position,Height(inches),Weight(pounds),Age
0,Catcher,74,180.0,22.99
1,Catcher,74,215.0,34.69
2,Catcher,72,210.0,30.78
3,First_Baseman,72,210.0,35.43
4,First_Baseman,73,188.0,35.71
5,Second_Baseman,69,176.0,29.39
6,Shortstop,69,209.0,30.77
7,Third_Baseman,71,200.0,35.07
8,Third_Baseman,76,231.0,30.19
9,Outfielder,71,180.0,27.05
10,Outfielder,73,188.0,23.88
11,Outfielder,73,180.0,26.96
12,Outfielder,74,185.0,23.29
13,Outfielder,74,160.0,26.11
14,Outfielder,69,180.0,27.55
15,Outfielder,70,185.0,34.27
16,Designated_Hitter,72,197.0,30.0
17,Starting_Pitcher,73,189.0,27.99
18,Starting_Pitcher,75,185.0,22.38
19,Starting_Pitcher,78,219.0,22.89
20,Starting_Pitcher,79,230.0,25.76
21,Starting_Pitcher,76,205.0,36.33
22,Starting_Pitcher,74,230.0,31.17
23,Starting_Pitcher,76,195.0,32.31
24,Relief_Pitcher,72,180.0,31.03
25,Relief_Pitcher,71,192.0,29.26
26,Relief_Pitcher,75,225.0,29.47
27,Relief_Pitcher,77,203.0,32.46
28,Relief_Pitcher,74,195.0,35.67
29,Relief_Pitcher,73,182.0,25.89
30,Relief_Pitcher,74,188.0,26.55
31,Relief_Pitcher,78,200.0,24.17
32,Relief_Pitcher,73,180.0,26.69
33,Relief_Pitcher,75,200.0,25.13
34,Relief_Pitcher,73,200.0,27.9
35,Catcher,75,245.0,30.17
36,Catcher,75,240.0,31.36
37,First_Baseman,74,215.0,30.99
38,Second_Baseman,69,185.0,32.24
39,Shortstop,71,175.0,27.61
40,Shortstop,74,199.0,28.2
41,Third_Baseman,73,200.0,28.85
42,Third_Baseman,73,215.0,24.21
43,Outfielder,76,200.0,22.02
44,Outfielder,74,205.0,24.97
45,Outfielder,74,206.0,26.78
46,Outfielder,70,186.0,32.51
47,Outfielder,72,188.0,30.95
48,Outfielder,77,220.0,33.09
49,Outfielder,74,210.0,32.74
50,Outfielder,70,195.0,30.69
51,Designated_Hitter,76,244.0,36.51
52,Designated_Hitter,75,195.0,26.03
53,Starting_Pitcher,73,200.0,23.45
54,Starting_Pitcher,75,200.0,24.94
55,Starting_Pitcher,76,212.0,24.09
56,Starting_Pitcher,76,224.0,35.23
57,Starting_Pitcher,78,210.0,27.43
58,Starting_Pitcher,74,205.0,30.6
59,Starting_Pitcher,74,220.0,27.94
60,Relief_Pitcher,76,195.0,29.99
61,Relief_Pitcher,77,200.0,25.17
62,Relief_Pitcher,81,260.0,24.13
63,Relief_Pitcher,78,228.0,30.46
64,Relief_Pitcher,75,270.0,25.96
65,Relief_Pitcher,77,200.0,22.55
66,Relief_Pitcher,75,210.0,26.29
67,Relief_Pitcher,76,190.0,24.79
68,Catcher,74,220.0,31.74
69,Catcher,72,180.0,23.92
70,Catcher,72,205.0,25.33
71,First_Baseman,75,210.0,24.02
72,First_Baseman,73,220.0,23.7
73,First_Baseman,73,211.0,31.59
74,First_Baseman,73,200.0,29.95
75,First_Baseman,70,180.0,23.64
76,Shortstop,70,190.0,32.33
77,Shortstop,70,170.0,23.13
78,Third_Baseman,76,230.0,26.6
79,Third_Baseman,68,155.0,26.46
80,Outfielder,71,185.0,25.75
81,Outfielder,72,185.0,27.51
82,Outfielder,75,200.0,25.11
83,Outfielder,75,225.0,32.51
84,Outfielder,75,225.0,34.67
85,Outfielder,75,220.0,31.06
86,Outfielder,68,160.0,29.1
87,Outfielder,74,205.0,28.66
88,Starting_Pitcher,78,235.0,28.35
89,Starting_Pitcher,71,250.0,33.77
90,Starting_Pitcher,73,210.0,30.89
91,Starting_Pitcher,76,190.0,37.74
92,Starting_Pitcher,74,160.0,24.14
93,Starting_Pitcher,74,200.0,25.71
94,Starting_Pitcher,79,205.0,24.41
95,Relief_Pitcher,75,222.0,24.32
96,Relief_Pitcher,73,195.0,28.09
97,Relief_Pitcher,76,205.0,33.31
98,Relief_Pitcher,74,220.0,36.4
99,Relief_Pitcher,74,220.0,37.36
100,Relief_Pitcher,73,170.0,31.61
101,Relief_Pitcher,72,185.0,25.14
102,Relief_Pitcher,74,195.0,30.29
103,Catcher,73,220.0,36.37
104,Catcher,74,230.0,34.89
105,Catcher,72,180.0,23.79
106,First_Baseman,73,220.0,27.96
107,Second_Baseman,69,180.0,23.54
108,Shortstop,72,180.0,31.37
109,Shortstop,73,170.0,31.29
110,Third_Baseman,75,210.0,33.01
111,Outfielder,75,215.0,25.1
112,Outfielder,73,200.0,31.28
113,Outfielder,72,213.0,34.75
114,Outfielder,72,180.0,23.46
115,Outfielder,76,192.0,25.37
116,Outfielder,74,235.0,29.57
117,Outfielder,72,185.0,27.33
118,Designated_Hitter,76,230.0,31.28
119,Starting_Pitcher,77,235.0,40.29
120,Starting_Pitcher,74,210.0,40.58
121,Starting_Pitcher,77,222.0,26.79
122,Starting_Pitcher,75,210.0,32.55
123,Starting_Pitcher,76,230.0,26.27
124,Starting_Pitcher,80,220.0,29.47
125,Starting_Pitcher,74,180.0,29.07
126,Starting_Pitcher,74,190.0,23.15
127,Starting_Pitcher,75,200.0,24.9
